Sr. No.,Symbol,Company Name
271,ASAHIINDIA,ASAHI INDIA GLASS LIMITED
272,INFIBEAM,INFIBEAM INCORPORATION LIMITED
273,UNIONBANK,UNION BANK OF INDIA
274,WOCKPHARMA,WOCKHARDT LIMITED
275,IRB,IRB INFRASTRUCTURE DEVELOPERS LIMITED
276,CYIENT,CYIENT LIMITED
277,IDFC,IDFC LIMITED
278,ATUL,ATUL LIMITED
279,RELAXO,RELAXO FOOTWEARS LIMITED
280,FLFL,FUTURE LIFESTYLE FASHIONS LIMITED
281,DISHTV,DISH TV INDIA LIMITED
282,LAXMIMACH,LAKSHMI MACHINE WORKS LIMITED
283,KALPATPOWR,KALPATARU POWER TRANSMISSION LIMITED
284,OCL,OCL INDIA LIMITED
285,LALPATHLAB,DR. LAL PATH LABS LTD.
286,KARURVYSYA,KARUR VYSYA BANK LIMITED
287,SFL,SHEELA FOAM LIMITED
288,BDL,BHARAT DYNAMICS LIMITED
289,CENTURYPLY,CENTURY PLYBOARDS (INDIA) LIMITED
290,BLUESTARCO,BLUE STAR LIMITED
291,JYOTHYLAB,JYOTHY LABORATORIES LIMITED
292,TTKPRESTIG,TTK PRESTIGE LIMITED
293,JKCEMENT,JK CEMENT LIMITED
294,NCC,NCC LIMITED
295,GPPL,GUJARAT PIPAVAV PORT LIMITED
296,VTL,VARDHMAN TEXTILES LIMITED
297,BAJAJCORP,BAJAJ CORP LIMITED
298,JETAIRWAYS,JET AIRWAYS (INDIA) LIMITED
299,DCMSHRIRAM,DCM SHRIRAM LIMITED
300,CHAMBLFERT,CHAMBAL FERTILIZERS & CHEMICALS LIMITED
301,COCHINSHIP,COCHIN SHIPYARD LIMITED
302,JCHAC,JOHNSON CONTROLS ¿ HITACHI AIR CONDITIONING INDIA LIMITED
303,DELTACORP,DELTA CORP LIMITED
304,SADBHAV,SADBHAV ENGINEERING LIMITED
305,CARBORUNIV,CARBORUNDUM UNIVERSAL LIMITED
306,CANFINHOME,CAN FIN HOMES LIMITED
307,COFFEEDAY,COFFEE DAY ENTERPRISES LIMITED
308,FORTIS,FORTIS HEALTHCARE LIMITED
309,ITI,ITI LIMITED
310,GEPIL,GE POWER INDIA LIMITED
311,NETWORK18,NETWORK18 MEDIA & INVESTMENTS LIMITED
312,TATAELXSI,TATA ELXSI LIMITED
313,HSCL,HIMADRI SPECIALITY CHEMICAL LIMITED
314,CEATLTD,CEAT LIMITED
315,CAPF,CAPITAL FIRST LIMITED
316,SUNTECK,SUNTECK REALTY LIMITED
317,RCOM,RELIANCE COMMUNICATIONS LIMITED
318,STAR,STRIDES SHASUN LIMITED
319,REDINGTON,REDINGTON (INDIA) LIMITED
320,WELSPUNIND,WELSPUN INDIA LIMITED
321,HINDCOPPER,HINDUSTAN COPPER LIMITED
322,VIJAYABANK,VIJAYA BANK
323,SYNDIBANK,SYNDICATE BANK
324,BAJAJELEC,BAJAJ ELECTRICALS LIMITED
325,DBCORP,D.B.CORP LIMITED
326,NH,NARAYANA HRUDAYALAYA LTD.
327,SUZLON,SUZLON ENERGY LIMITED
328,PVR,PVR LIMITED
329,GNFC,GUJARAT NARMADA VALLEY FERTILIZERS AND CHEMICALS LIMITED
330,GRINDWELL,GRINDWELL NORTON LIMITED
331,MMTC,MMTC LIMITED
332,PERSISTENT,PERSISTENT SYSTEMS LIMITED
333,RAYMOND,RAYMOND LIMITED
334,BIRLACORPN,BIRLA CORPORATION LIMITED
336,VENKEYS,VENKY'S (INDIA) LIMITED
337,JKLAKSHMI,JK LAKSHMI CEMENT LIMITED
338,JAGRAN,JAGRAN PRAKASHAN LIMITED
339,LAURUSLABS,LAURUS LABS LIMITED
340,GALAXYSURF,GALAXY SURFACTANTS LIMITED
341,NIITTECH,NIIT TECHNOLOGIES LIMITED
342,JISLJALEQS,JAIN IRRIGATION SYSTEMS LIMITED
343,MOIL,MOIL LIMITED
344,DCAL,DISHMAN CARBOGEN AMCIS LIMITED
345,GUJALKALI,GUJARAT ALKALIES AND CHEMICALS LIMITED
346,GESHIP,THE GREAT EASTERN SHIPPING COMPANY LIMITED
347,IOB,INDIAN OVERSEAS BANK
348,DCBBANK,DCB BANK LIMITED
349,BOMDYEING,BOMBAY DYEING & MFG COMPANY LIMITED
350,EQUITAS,EQUITAS HOLDINGS LIMITED
351,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LIMITED
352,STARCEMENT,STAR CEMENT LIMITED
353,CGPOWER,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED
354,IEX,INDIAN ENERGY EXCHANGE LIMITED
355,EIDPARRY,EID PARRY INDIA LIMITED
356,SOBHA,SOBHA LIMITED
357,TIMKEN,TIMKEN INDIA LIMITED
358,ECLERX,ECLERX SERVICES LIMITED
